loan_id,product,vintage,origination_date,ticket,term_months,default_mob,default_flag,payoff_mob,payoff_flag
22241000423,MoneyKey,2024-10,2024-10-21,687.3,5,-1,0,1,1
21260200937,CreditFresh,2026-02,2026-02-04,1679.24,9,-1,0,3,1
21231200171,CreditFresh,2023-12,2023-12-13,1630.59,9,-1,0,1,1
21251201120,CreditFresh,2025-12,2025-12-28,1805.18,9,-1,0,1,1
21260501067,CreditFresh,2026-05,2026-05-06,1681.75,9,-1,0,1,1
22230801123,MoneyKey,2023-08,2023-08-23,759.69,5,2,1,-1,0
22240601084,MoneyKey,2024-06,2024-06-01,748.18,5,-1,0,3,1
22250500866,MoneyKey,2025-05,2025-05-20,759.23,5,3,1,-1,0
21250900811,CreditFresh,2025-09,2025-09-05,1759.83,9,-1,0,2,1
21231001269,CreditFresh,2023-10,2023-10-18,1876.69,9,-1,0,2,1
22260200868,MoneyKey,2026-02,2026-02-24,739.56,5,-1,0,1,1
21260500861,CreditFresh,2026-05,2026-05-30,1952.91,9,-1,0,5,1
22260600473,MoneyKey,2026-06,2026-06-30,706.95,5,-1,0,2,1
22251000475,MoneyKey,2025-10,2025-10-12,681.89,5,-1,0,2,1
21240601385,CreditFresh,2024-06,2024-06-19,1681.48,9,-1,0,3,1
21241100973,CreditFresh,2024-11,2024-11-12,1710.71,9,-1,0,3,1
22250801015,MoneyKey,2025-08,2025-08-28,630.33,5,1,1,-1,0
22260300864,MoneyKey,2026-03,2026-03-23,735.68,5,1,1,-1,0
21240601518,CreditFresh,2024-06,2024-06-27,1881.23,9,-1,0,4,1
21231200988,CreditFresh,2023-12,2023-12-02,1893.79,9,-1,0,3,1
